timestamp,city,temperature,description
2026-03-16T12:42:15.190Z,Salisbury,10.62,broken clouds
2026-03-17T14:40:44.457Z,Salisbury,13.28,few clouds
2026-03-17T14:41:46.208Z,Salisbury,13.28,few clouds
2026-03-17T15:21:28.595Z,MEXICO,24.84,overcast clouds
2026-03-17T17:02:06.532Z,MEXICO,24.84,overcast clouds
2026-03-17T18:58:50.677Z,MEXICO,24.84,broken clouds
2026-03-17T20:36:37.533Z,MEXICO,23.84,broken clouds
2026-03-17T22:30:53.203Z,MEXICO,24.74,scattered clouds
2026-03-18T02:00:52.650Z,MEXICO,26.84,few clouds
2026-03-18T05:25:04.185Z,MEXICO,30.84,broken clouds
2026-03-18T06:59:36.691Z,MEXICO,30.84,overcast clouds
2026-03-18T08:44:36.205Z,MEXICO,30.84,overcast clouds
2026-03-18T10:50:51.059Z,MEXICO,28.84,overcast clouds
2026-03-18T13:06:18.260Z,MEXICO,25.84,broken clouds
2026-03-18T15:00:28.693Z,MEXICO,24.84,broken clouds
2026-03-18T16:57:19.936Z,MEXICO,25.84,scattered clouds
2026-03-18T18:56:59.515Z,MEXICO,24.51,clear sky
2026-03-18T20:33:59.269Z,MEXICO,24.84,clear sky
2026-03-18T22:30:26.231Z,MEXICO,23.84,clear sky
2026-03-19T02:01:40.523Z,MEXICO,27.84,clear sky
2026-03-19T05:21:13.003Z,MEXICO,32.84,scattered clouds
2026-03-19T06:55:46.491Z,MEXICO,31.77,broken clouds
2026-03-19T08:39:17.909Z,MEXICO,31.84,overcast clouds
2026-03-19T10:37:48.335Z,MEXICO,29.84,overcast clouds
2026-03-19T12:59:55.089Z,MEXICO,27.84,few clouds
2026-03-19T14:43:53.529Z,MEXICO,26.84,few clouds
2026-03-19T16:55:55.105Z,MEXICO,25.84,clear sky
2026-03-19T18:55:35.100Z,MEXICO,23.84,clear sky
2026-03-19T20:35:07.437Z,MEXICO,24.84,clear sky
2026-03-19T22:26:27.944Z,MEXICO,23.84,clear sky
2026-03-20T01:55:41.629Z,MEXICO,29.54,clear sky
2026-03-20T04:13:47.844Z,MEXICO,33.84,few clouds
2026-03-20T06:52:25.490Z,MEXICO,32.84,scattered clouds
2026-03-20T08:38:05.509Z,MEXICO,31.03,few clouds
2026-03-20T10:35:49.183Z,MEXICO,30.84,few clouds
2026-03-20T12:55:18.087Z,MEXICO,26.3,clear sky
2026-03-20T14:41:10.969Z,MEXICO,25.16,clear sky
2026-03-20T16:40:32.604Z,MEXICO,25.84,clear sky
2026-03-20T18:44:45.952Z,MEXICO,24.84,clear sky
2026-03-20T20:29:29.398Z,MEXICO,24.45,clear sky
2026-03-20T22:26:22.944Z,MEXICO,23.84,clear sky
2026-03-21T01:49:51.963Z,MEXICO,27.84,clear sky
2026-03-21T04:03:53.680Z,MEXICO,32.17,clear sky
2026-03-21T06:39:51.128Z,MEXICO,32.84,few clouds
2026-03-21T08:30:08.687Z,MEXICO,33.84,few clouds
2026-03-21T10:24:05.854Z,MEXICO,27.05,few clouds
2026-03-21T12:42:47.821Z,MEXICO,27.84,clear sky
2026-03-21T14:24:43.692Z,MEXICO,25.63,few clouds
